# Step-1 rejected-side misfires (2026-08-24 audit)
# Extracted from INFRA_FILTER_STEP1_CONST_VERDICTS.tsv; mechanisms and
# status per the adversarial audit recorded in INFRA_FILTER_REWORK_PLAN.md §7.
# status: confirmed = verified legitimate cited math; borderline/gray = design call.
# columns: constant	rule	mechanism	status
Approximation.term_of_floatarith_inst.term_of_floatarith	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.random_floatarith_inst.random_floatarith	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Reflected_Multivariate_Polynomial.poly_deriv_aux_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.poly_deriv_aux_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Approximation.equal_floatarith_inst.equal_floatarith	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Reflected_Multivariate_Polynomial.coefficients_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.isweaknpoly_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.coefficients_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Approximation.size_floatarith_inst.size_floatarith	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Reflected_Multivariate_Polynomial.poly_deriv_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.isweaknpoly_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.isconstant_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polydivide_aux	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.poly_deriv_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.poly_deriv_aux	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.poly_cmul_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.poly.size_poly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.isconstant_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.headconst_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polynate_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.poly_cmul_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.isnpolyh_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.isnonconstant	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.headconst_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.decrpoly_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polypow_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polyneg_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polynate_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polymul_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polydivideby	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polyadd_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.isnpolyh_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.degreen_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.decrpoly_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.coefficients	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.Ipoly_syntax	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polypow_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polyneg_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polymul_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polyadd_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.isweaknpoly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.degreen_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.degree_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.behead_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polysubst0	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polydivide	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polybound0	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.poly_deriv	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.isconstant	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.headn_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.degree_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.behead_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Approximation.typerep_form_inst.typerep_form	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.term_of_form_inst.term_of_form	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Reflected_Multivariate_Polynomial.polypoly'	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.poly_nate	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.poly_cmul	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.headn_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.headconst	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.head_sumC	infra_theory	RMP: real polynomial library, zero external citers	borderline
Approximation.approx_form'_approx_form_sumC	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Reflected_Multivariate_Polynomial.swapnorm	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polysize	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polypoly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polynate	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.poly_pow	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.maxindex	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.isnpolyh	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.head_dom	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.decrpoly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Approximation.random_form_inst.random_form	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_form'_approx_form_dom	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Reflected_Multivariate_Polynomial.polysub	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polypow	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polyneg	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polymul	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.polyadd	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.isnpoly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.degreen	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.shift1	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.poly_p	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.poly_0	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.funpow	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.degree	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.behead	infra_theory	RMP: real polynomial library, zero external citers	borderline
Approximation.floatarith.size_floatarith	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.equal_form_inst.equal_form	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Reflected_Multivariate_Polynomial.wf_bs	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.monic	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.headn	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.Ipoly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Approximation.interpret_floatarith_sumC	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Reflected_Multivariate_Polynomial.swap	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.head	infra_theory	RMP: real polynomial library, zero external citers	borderline
Approximation.size_form_inst.size_form	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.interpret_floatarith_dom	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_tse_form'_sumC	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_tse_concl_sumC	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_form_eval_sumC	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.DERIV_floatarith_sumC	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.interpret_floatarith	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_tse_form'_dom	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_tse_concl_dom	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_form_eval_dom	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.DERIV_floatarith_dom	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.isDERIV_approx_sumC	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.interpret_form_sumC	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_approx'_sumC	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.isDERIV_approx_dom	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.interpret_form_dom	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_approx'_dom	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_tse_form'	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_tse_concl	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_form_eval	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.DERIV_floatarith	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_tse_sumC	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_tse_form	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.lift_bin'_sumC	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.isDERIV_approx	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.interpret_form	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.form.size_form	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_tse_dom	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.lift_un'_sumC	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.lift_bin_sumC	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.lift_bin'_dom	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.lift_un_sumC	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.lift_un'_dom	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.lift_bin_dom	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.isDERIV_sumC	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_form'	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.lift_un_dom	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.isDERIV_dom	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_form	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.bounded_by	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx_tse	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.lift_bin'	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.lift_un'	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.lift_bin	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.lift_un	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.isDERIV	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx'	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.approx	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Rat_Pair.isnormNum	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.Numi_syn	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.Num0_syn	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.normNum	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.Nsub	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.Nneg	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.Nmul	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.Nlt0	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.Nle0	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.Ninv	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.Ngt0	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.Nge0	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.Ndiv	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.Nadd	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.INum	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.Nlt	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
Rat_Pair.Nle	infra_theory	Rat_Pair: INum/isnormNum used by Taylor_Models	confirmed
BNF_Cardinal_Order_Relation.card_order_on	internal_prefix	cardinal-arithmetic library erased by BNF_ prefix	confirmed
BNF_Cardinal_Order_Relation.regularCard	internal_prefix	cardinal-arithmetic library erased by BNF_ prefix	confirmed
BNF_Cardinal_Order_Relation.card_order	internal_prefix	cardinal-arithmetic library erased by BNF_ prefix	confirmed
BNF_Cardinal_Order_Relation.Card_order	internal_prefix	cardinal-arithmetic library erased by BNF_ prefix	confirmed
BNF_Cardinal_Order_Relation.natLeq_on	internal_prefix	cardinal-arithmetic library erased by BNF_ prefix	confirmed
BNF_Cardinal_Order_Relation.isCardSuc	internal_prefix	cardinal-arithmetic library erased by BNF_ prefix	confirmed
BNF_Cardinal_Order_Relation.relChain	internal_prefix	cardinal-arithmetic library erased by BNF_ prefix	confirmed
BNF_Cardinal_Order_Relation.card_suc	internal_prefix	cardinal-arithmetic library erased by BNF_ prefix	confirmed
BNF_Cardinal_Order_Relation.natLess	internal_prefix	cardinal-arithmetic library erased by BNF_ prefix	confirmed
BNF_Cardinal_Order_Relation.cofinal	internal_prefix	cardinal-arithmetic library erased by BNF_ prefix	confirmed
BNF_Cardinal_Order_Relation.card_of	internal_prefix	cardinal-arithmetic library erased by BNF_ prefix	confirmed
BNF_Cardinal_Order_Relation.cardSuc	internal_prefix	cardinal-arithmetic library erased by BNF_ prefix	confirmed
BNF_Cardinal_Order_Relation.stable	internal_prefix	cardinal-arithmetic library erased by BNF_ prefix	confirmed
BNF_Cardinal_Order_Relation.natLeq	internal_prefix	cardinal-arithmetic library erased by BNF_ prefix	confirmed
Lattice_Constructions.flat_complete_lattice.size_flat_complete_lattice	adt_record	size-plugin function, few or no external citations	gray
Record.tuple_isomorphism.size_tuple_isomorphism	adt_record	size-plugin function, few or no external citations	gray
Pratt_Certificate.pratt_tree.size_pratt_tree	adt_record	size-plugin function, few or no external citations	gray
Landau_Real_Products.primfun.size_primfun	adt_record	size-plugin function, few or no external citations	gray
Reachability_Analysis.sctn.size_sctn	adt_record	size-plugin function, few or no external citations	gray
Lazy_Eval.cmp_result.size_cmp_result	adt_record	size-plugin function, few or no external citations	gray
Continued_Fractions.cfrac.size_cfrac	adt_record	size-plugin function, few or no external citations	gray
Pratt_Certificate.pratt.size_pratt	adt_record	size-plugin function, few or no external citations	gray
Lattice_Constructions.top.size_top	adt_record	size-plugin function, few or no external citations	gray
Lattice_Constructions.bot.size_bot	adt_record	size-plugin function, few or no external citations	gray
Phantom_Type.phantom.size_phantom	adt_record	size-plugin function, few or no external citations	gray
Multiseries_Expansion.ms.size_ms	adt_record	size-plugin function, few or no external citations	gray
Extended.extended.size_extended	adt_record	size-plugin function, few or no external citations	gray
Extended_Real.ereal.size_ereal	adt_record	size-plugin function, few or no external citations	gray
Catalan_Numbers.tree.size_tree	adt_record	size-plugin function, few or no external citations	gray
Typerep.typerep.size_typerep	adt_record	size-plugin function, few or no external citations	gray
State_Monad.state.size_state	adt_record	size-plugin function, few or no external citations	gray
Coinductive_List.llist.lnull	adt_record	free-constructor discriminator / size plugin, AFP-cited	confirmed
Parallel.future.size_future	adt_record	size-plugin function, few or no external citations	gray
Option.option.size_option	adt_record	size-plugin function, few or no external citations	gray
IArray.iarray.size_iarray	adt_record	size-plugin function, few or no external citations	gray
Comparator.comp.size_comp	adt_record	size-plugin function, few or no external citations	gray
String.char.size_char	adt_record	size-plugin function, few or no external citations	gray
Tree.tree.size_tree	adt_record	size-plugin function, few or no external citations	gray
List.list.size_list	adt_record	free-constructor discriminator / size plugin, AFP-cited	confirmed
Sum_Type.sum.isl	adt_record	free-constructor discriminator / size plugin, AFP-cited	confirmed
Num.num.size_num	adt_record	size-plugin function, few or no external citations	gray
